species,master_row,latitud,longitud,student,coordinate_source_as_given,precision,student_notes,action
Acianthera aphthosa,422,-29.716667,-52.416667,Naan,Articulo de Ribeiro 2006,region,"Cinturao Verde, Santa Cruz do Sul, RS, Brazil",coordinate written to existing row
Acianthera hygrophila,430,-25.559722,-49.234722,Naan,Articulo ,site,"Bosque do Zoológico de Curitiba, Parque Natural Municipal do Iguaçu, Curitiba, Paraná, Brasil",coordinate written to existing row
Acianthera johannensis,431,-21.310556,-44.590833,Naan,Articulo 2001,locality,"Nazareno-MG, Brasil",new locality row inserted
Acianthera johannensis,432,-21.507778,-44.6,Naan,Articulo 2001,locality,"Carrancas-MG, Brasil",new locality row inserted
Acianthera johannensis,433,-21.297778,-44.7125,Naan,Articulo 2001,locality,"Itutinga-MG, Brasil",coordinate written to existing row
Acianthera limae,434,-20.093333,-43.474722,Naan,Articulo,site,"Serra do Caraca, Catas Altas, MG, Brasil",coordinate written to existing row
Acianthera ochreata,437,-11.55,-41.15,Naan,Articulo 2001,site,"Morro de Chapeu, Bahia, Brasil",new locality row inserted
Acianthera ochreata,438,-16.55,-42.9,Naan,Articulo 2001,site,"Grao Mogol, MG, Brasil",coordinate written to existing row
Acianthera sonderana,441,-25.559722,-49.234722,Naan,Articulo,site,"Bosque do Zoologico de Curitiba, Parque Nacional Municipal do Iguacu",coordinate written to existing row
Elleanthus brasiliensis,1078,-23.339417,-44.837361,Natalia,En el Paper Nunes el al 2015,site,,coordinate written to existing row
Elleanthus crinipes,1082,-23.435556,-45.222917,Natalia,En el Paper Nunes el al 2015,site,,new locality row inserted
Elleanthus crinipes,1083,-23.331944,-45.096944,Natalia,En el Paper Nunes el al 2016,site,,coordinate written to existing row
Elleanthus glaucophyllus,1084,10.298944,-84.768164,Natalia,Google Earth ,site,,coordinate written to existing row
Coryanthes seegeri,1880,-6.041942,-76.970017,Natalia,Google Earth ,locality,,coordinate written to existing row
Coryanthes speciosa,1882,5.143356,-60.762489,Natalia,Google Earth ,region,,new locality row inserted
Coryanthes speciosa,1883,-3.299506,-60.664694,Natalia,Google Earth ,region,,coordinate written to existing row
Vanilla humblotii,3137,-12.813597,45.164114,Naan,google earth,region,"Mayotte, Comoros Islands",coordinate written to existing row
Acianthera limae,,-20.0875,-45.983611,Naan,Articulo,site,"Serra do Calcada, Nova Lima, MG, Brasil",HELD: Nova Lima note vs longitude ~2 degrees west; awaiting student check
Acianthera sonderana,,-25.423056,-49.283056,Naan,Articulo,site,Region urbana de Curitiba (plantas cultivadas),"HELD: cultivated plants in urban Curitiba, not a natural locality"
Acianthera luteola,,-23.416667,-49.283333,Naan,Articulo,site,"Universidad Federal do Parana, Curitiba, Parana State, southern Brazil","HELD: longitude arrived as -49283333; with the decimal restored the point falls in Sao Paulo state, not Curitiba"
