excel_row,column,before,after,species_on_that_row
152,subfamily (A),,Epidendroideae,porphyrophylla
154,subfamily (A),,Epidendroideae,paulinae
155,subfamily (A),,Epidendroideae,plicata
158,subfamily (A),,Epidendroideae,crassicaule
159,subfamily (A),,Epidendroideae,denbergii
160,subfamily (A),,Epidendroideae,dischorense
161,subfamily (A),,Epidendroideae,graminifolium
162,subfamily (A),,Epidendroideae,montanum
163,subfamily (A),,Epidendroideae,pelorioides
164,subfamily (A),,Epidendroideae,stenophyllum
165,subfamily (A),,Epidendroideae,superpositum
166,subfamily (A),,Epidendroideae,verruciferum
168,subfamily (A),,Epidendroideae,autumnalis
169,subfamily (A),,Epidendroideae,mucronata
171,subfamily (A),,Epidendroideae,catenulata
172,subfamily (A),,Epidendroideae,corallicola
173,subfamily (A),,Epidendroideae,macristhmochila
174,subfamily (A),,Epidendroideae,nitida
175,subfamily (A),,Epidendroideae,patula
176,subfamily (A),,Epidendroideae,purpurea
177,subfamily (A),,Epidendroideae,pupurata
178,subfamily (A),,Epidendroideae,revoluta
179,subfamily (A),,Epidendroideae,spicata
180,subfamily (A),,Epidendroideae,urbana
182,subfamily (A),,Epidendroideae,laevis
185,subfamily (A),,Epidendroideae,bulbosa var. occidentalis
186,subfamily (A),,Epidendroideae,bullbosa var. americana
189,subfamily (A),,Epidendroideae,macrantha
190,subfamily (A),,Epidendroideae,maculata
191,subfamily (A),,Epidendroideae,odontorhiza
192,subfamily (A),,Epidendroideae,striata
193,subfamily (A),,Epidendroideae,trifida
195,subfamily (A),,Epidendroideae,saprophytica
196,subfamily (A),,Epidendroideae,yangii
198,subfamily (A),,Epidendroideae,capitata
199,subfamily (A),,Epidendroideae,fasciata
200,subfamily (A),,Epidendroideae,gardneri
201,subfamily (A),,Epidendroideae,lagenophora
202,subfamily (A),,Epidendroideae,liliacea
203,subfamily (A),,Epidendroideae,mutica
204,subfamily (A),,Epidendroideae,polychroma
205,subfamily (A),,Epidendroideae,praecox
206,subfamily (A),,Epidendroideae,superba
207,subfamily (A),,Epidendroideae,tingens
208,subfamily (A),,Epidendroideae,utriculata
210,subfamily (A),,Epidendroideae,patens
215,subfamily (A),,Epidendroideae,lindleyana
216,subfamily (A),,Epidendroideae,obovata
217,subfamily (A),,Epidendroideae,scandens
218,subfamily (A),,Epidendroideae,skinneri
220,subfamily (A),,Epidendroideae,cucullata
221,subfamily (A),,Epidendroideae,flagellaris
222,subfamily (A),,Epidendroideae,nodosa
224,subfamily (A),,Epidendroideae,lindenii
225,subfamily (A),,Epidendroideae,sanguinea
