excel_row,column,before,after,species_on_that_row
852,genus (E),,Dendrobium,linguella
852,subfamily (A),,Epidendroideae,linguella
853,genus (E),,Dendrobium,linguiforme
853,subfamily (A),,Epidendroideae,linguiforme
854,genus (E),,Dendrobium,loddigesii
854,subfamily (A),,Epidendroideae,loddigesii
855,genus (E),,Dendrobium,lohohense
855,subfamily (A),,Epidendroideae,lohohense
856,genus (E),,Dendrobium,longicornu
856,subfamily (A),,Epidendroideae,longicornu
857,genus (E),,Dendrobium,macrostachyum
857,subfamily (A),,Epidendroideae,macrostachyum
858,subfamily (A),,Epidendroideae,mannii
859,genus (E),,Dendrobium,mirabelianum
859,subfamily (A),,Epidendroideae,mirabelianum
860,genus (E),,Dendrobium,mohlianum
860,subfamily (A),,Epidendroideae,mohlianum
861,genus (E),,Dendrobium,moniliforme
861,subfamily (A),,Epidendroideae,moniliforme
862,genus (E),,Dendrobium,monophyllum
862,subfamily (A),,Epidendroideae,monophyllum
863,genus (E),,Dendrobium,moschatum
863,subfamily (A),,Epidendroideae,moschatum
864,genus (E),,Dendrobium,mucronatum
864,subfamily (A),,Epidendroideae,mucronatum
865,genus (E),,Dendrobium,nathanielis
865,subfamily (A),,Epidendroideae,nathanielis
866,genus (E),,Dendrobium,nobile
866,subfamily (A),,Epidendroideae,nobile
867,genus (E),,Dendrobium,noesae
867,subfamily (A),,Epidendroideae,noesae
868,subfamily (A),,Epidendroideae,nugentii
869,genus (E),,Dendrobium,ochreatum
869,subfamily (A),,Epidendroideae,ochreatum
870,genus (E),,Dendrobium,orbilobatum
870,subfamily (A),,Epidendroideae,orbilobatum
871,genus (E),,Dendrobium,pachyglossum
871,subfamily (A),,Epidendroideae,pachyglossum
872,genus (E),,Dendrobium,pachyphyllum
872,subfamily (A),,Epidendroideae,pachyphyllum
873,genus (E),,Dendrobium,pachystele
873,subfamily (A),,Epidendroideae,pachystele
874,genus (E),,Dendrobium,palpebrae
874,subfamily (A),,Epidendroideae,palpebrae
875,genus (E),,Dendrobium,pandaneti
875,subfamily (A),,Epidendroideae,pandaneti
876,genus (E),,Dendrobium,panduriferum
876,subfamily (A),,Epidendroideae,panduriferum
877,genus (E),,Dendrobium,parcum
877,subfamily (A),,Epidendroideae,parcum
878,subfamily (A),,Epidendroideae,parishii
879,genus (E),,Dendrobium,paucilacinatum
879,subfamily (A),,Epidendroideae,paucilacinatum
880,genus (E),,Dendrobium,pendulum
880,subfamily (A),,Epidendroideae,pendulum
881,genus (E),,Dendrobium,planibulbe
881,subfamily (A),,Epidendroideae,planibulbe
882,genus (E),,Dendrobium,polyanthum
882,subfamily (A),,Epidendroideae,polyanthum
883,genus (E),,Dendrobium,primulinum
883,subfamily (A),,Epidendroideae,primulinum
884,genus (E),,Dendrobium,pulchellum
884,subfamily (A),,Epidendroideae,pulchellum
885,genus (E),,Dendrobium,quadriferum
885,subfamily (A),,Epidendroideae,quadriferum
886,genus (E),,Dendrobium,salaccense
886,subfamily (A),,Epidendroideae,salaccense
887,genus (E),,Dendrobium,scoriarum
887,subfamily (A),,Epidendroideae,scoriarum
888,subfamily (A),,Epidendroideae,secundum
889,genus (E),,Dendrobium,senile
889,subfamily (A),,Epidendroideae,senile
890,genus (E),,Dendrobium,setifolium
890,subfamily (A),,Epidendroideae,setifolium
891,genus (E),,Dendrobium,signatum
891,subfamily (A),,Epidendroideae,signatum
892,genus (E),,Dendrobium,simplex
892,subfamily (A),,Epidendroideae,simplex
893,genus (E),,Dendrobium,sinense
893,subfamily (A),,Epidendroideae,sinense
894,genus (E),,Dendrobium,sinominutiflorum
894,subfamily (A),,Epidendroideae,sinominutiflorum
895,genus (E),,Dendrobium,speciosum
895,subfamily (A),,Epidendroideae,speciosum
896,genus (E),,Dendrobium,stuposum
896,subfamily (A),,Epidendroideae,stuposum
897,genus (E),,Dendrobium,subulatum
897,subfamily (A),,Epidendroideae,subulatum
898,subfamily (A),,Epidendroideae,stuartii
899,genus (E),,Dendrobium,sulcatum
899,subfamily (A),,Epidendroideae,sulcatum
900,genus (E),,Dendrobium,tetraedre
900,subfamily (A),,Epidendroideae,tetraedre
901,genus (E),,Dendrobium,thyrsiflorum
901,subfamily (A),,Epidendroideae,thyrsiflorum
902,genus (E),,Dendrobium,toressae
902,subfamily (A),,Epidendroideae,toressae
903,genus (E),,Dendrobium,tortile
903,subfamily (A),,Epidendroideae,tortile
904,genus (E),,Dendrobium,trantuanii
904,subfamily (A),,Epidendroideae,trantuanii
905,genus (E),,Dendrobium,trigonopus
905,subfamily (A),,Epidendroideae,trigonopus
906,genus (E),,Dendrobium,truncatum
906,subfamily (A),,Epidendroideae,truncatum
907,genus (E),,Dendrobium,unicum
907,subfamily (A),,Epidendroideae,unicum
908,subfamily (A),,Epidendroideae,virgineum
909,genus (E),,Dendrobium,wangliangii
909,subfamily (A),,Epidendroideae,wangliangii
910,genus (E),,Dendrobium,wardianum
910,subfamily (A),,Epidendroideae,wardianum
912,genus (E),,Crepidium,maximowicziana
912,subfamily (A),,Epidendroideae,maximowicziana
913,genus (E),,Crepidium,nephroglossum
913,subfamily (A),,Epidendroideae,nephroglossum
914,genus (E),,Crepidium,soleiforme
914,subfamily (A),,Epidendroideae,soleiforme
918,genus (E),,Liparis,cleistogama
918,subfamily (A),,Epidendroideae,cleistogama
919,genus (E),,Liparis,disticha
919,subfamily (A),,Epidendroideae,disticha
920,genus (E),,Liparis,elliptica
920,subfamily (A),,Epidendroideae,elliptica
921,genus (E),,Liparis,ferruginea
921,subfamily (A),,Epidendroideae,ferruginea
922,genus (E),,Liparis,flavescens
922,subfamily (A),,Epidendroideae,flavescens
923,genus (E),,Liparis,gigantea
923,subfamily (A),,Epidendroideae,gigantea
924,genus (E),,Liparis,kumokiri
924,subfamily (A),,Epidendroideae,kumokiri
925,genus (E),,Liparis,liliifolia
925,subfamily (A),,Epidendroideae,liliifolia
926,genus (E),,Liparis,loeselii
926,subfamily (A),,Epidendroideae,loeselii
927,genus (E),,Liparis,reflexa
927,subfamily (A),,Epidendroideae,reflexa
928,subfamily (A),,Epidendroideae,salassia
929,genus (E),,Liparis,scaposa
929,subfamily (A),,Epidendroideae,scaposa
930,genus (E),,Liparis,viridiflora
930,subfamily (A),,Epidendroideae,viridiflora
932,genus (E),,Malaxis,massonii
932,subfamily (A),,Epidendroideae,massonii
933,genus (E),,Malaxis,monophyllos
933,subfamily (A),,Epidendroideae,monophyllos
934,genus (E),,Malaxis,paludosa
934,subfamily (A),,Epidendroideae,paludosa
935,genus (E),,Malaxis,unifolia
935,subfamily (A),,Epidendroideae,unifolia
937,genus (E),,Oberonia,austroyunnanensis
937,subfamily (A),,Epidendroideae,austroyunnanensis
938,genus (E),,Oberonia,caulescerns
938,subfamily (A),,Epidendroideae,caulescerns
939,genus (E),,Oberonia,cavaleriei
939,subfamily (A),,Epidendroideae,cavaleriei
940,genus (E),,Oberonia,cleistogama
940,subfamily (A),,Epidendroideae,cleistogama
941,genus (E),,Oberonia,disticha
941,subfamily (A),,Epidendroideae,disticha
942,genus (E),,Oberonia,ensiformis
942,subfamily (A),,Epidendroideae,ensiformis
943,genus (E),,Oberonia,falconeri
943,subfamily (A),,Epidendroideae,falconeri
944,genus (E),,Oberonia,integerrima
944,subfamily (A),,Epidendroideae,integerrima
945,subfamily (A),,Epidendroideae,japonica
946,genus (E),,Oberonia,linearis
946,subfamily (A),,Epidendroideae,linearis
947,genus (E),,Oberonia,mucronata
947,subfamily (A),,Epidendroideae,mucronata
948,genus (E),,Oberonia,longibracteata
948,subfamily (A),,Epidendroideae,longibracteata
949,genus (E),,Oberonia,rufilabris
949,subfamily (A),,Epidendroideae,rufilabris
950,genus (E),,Oberonia,variabilis
950,subfamily (A),,Epidendroideae,variabilis
952,genus (E),,Cephalanthera,damasonium
952,subfamily (A),,Epidendroideae,damasonium
953,genus (E),,Cephalanthera,falcata
953,subfamily (A),,Epidendroideae,falcata
954,genus (E),,Cephalanthera,longifolia
954,subfamily (A),,Epidendroideae,longifolia
955,genus (E),,Cephalanthera,rubra
955,subfamily (A),,Epidendroideae,rubra
957,genus (E),,Epipactis,atrorubens
957,subfamily (A),,Epidendroideae,atrorubens
958,genus (E),,Epipactis,bucegensis
958,subfamily (A),,Epidendroideae,bucegensis
959,genus (E),,Epipactis,campeadorii
959,subfamily (A),,Epidendroideae,campeadorii
960,genus (E),,Epipactis,confusa
960,subfamily (A),,Epidendroideae,confusa
961,genus (E),,Epipactis,distans
961,subfamily (A),,Epidendroideae,distans
962,genus (E),,Epipactis,dunensis
962,subfamily (A),,Epidendroideae,dunensis
963,genus (E),,Epipactis,fageticola
963,subfamily (A),,Epidendroideae,fageticola
964,genus (E),,Epipactis,fibri
964,subfamily (A),,Epidendroideae,fibri
965,subfamily (A),,Epidendroideae,flava
966,genus (E),,Epipactis,futakii
966,subfamily (A),,Epidendroideae,futakii
967,genus (E),,Epipactis,gigantea
967,subfamily (A),,Epidendroideae,gigantea
968,genus (E),,Epipactis,helleborine
968,subfamily (A),,Epidendroideae,helleborine
969,genus (E),,Epipactis,kleinii
969,subfamily (A),,Epidendroideae,kleinii
970,genus (E),,Epipactis,leptochila
970,subfamily (A),,Epidendroideae,leptochila
971,genus (E),,Epipactis,lusitanica
971,subfamily (A),,Epidendroideae,lusitanica
972,genus (E),,Epipactis,microphylla
972,subfamily (A),,Epidendroideae,microphylla
973,genus (E),,Epipactis,muelleri
973,subfamily (A),,Epidendroideae,muelleri
974,genus (E),,Epipactis,palustris
974,subfamily (A),,Epidendroideae,palustris
975,subfamily (A),,Epidendroideae,peitzii
976,genus (E),,Epipactis,persica
976,subfamily (A),,Epidendroideae,persica
977,genus (E),,Epipactis,phyllanthes
977,subfamily (A),,Epidendroideae,phyllanthes
978,genus (E),,Epipactis,placentina
978,subfamily (A),,Epidendroideae,placentina
979,genus (E),,Epipactis,provincialis
979,subfamily (A),,Epidendroideae,provincialis
980,genus (E),,Epipactis,pseudopurpurata
980,subfamily (A),,Epidendroideae,pseudopurpurata
981,genus (E),,Epipactis,purpurata
981,subfamily (A),,Epidendroideae,purpurata
982,genus (E),,Epipactis,rhodanensis
982,subfamily (A),,Epidendroideae,rhodanensis
983,genus (E),,Epipactis,sancta
983,subfamily (A),,Epidendroideae,sancta
984,genus (E),,Epipactis,thundbergii
984,subfamily (A),,Epidendroideae,thundbergii
985,subfamily (A),,Epidendroideae,tremolsii
986,genus (E),,Epipactis,veratrifolia
986,subfamily (A),,Epidendroideae,veratrifolia
987,genus (E),,Epipactis,youngiana
987,subfamily (A),,Epidendroideae,youngiana
989,genus (E),,Limodorum,trabutianum
989,subfamily (A),,Epidendroideae,trabutianum
991,genus (E),,Neottia,cordata
991,subfamily (A),,Epidendroideae,cordata
992,genus (E),,Neottia,listeroides
992,subfamily (A),,Epidendroideae,listeroides
993,genus (E),,Neottia,nidus-avis
993,subfamily (A),,Epidendroideae,nidus-avis
994,genus (E),,Neottia,ovata
994,subfamily (A),,Epidendroideae,ovata
995,genus (E),,Neottia,puberula
995,subfamily (A),,Epidendroideae,puberula
997,genus (E),,Palmorchis,powellii
997,subfamily (A),,Epidendroideae,powellii
999,genus (E),,Epipogium,roseum
999,subfamily (A),,Epidendroideae,roseum
1001,genus (E),,Nervilia,ballii
1001,subfamily (A),,Epidendroideae,ballii
1002,genus (E),,Nervilia,bicarinata
1002,subfamily (A),,Epidendroideae,bicarinata
1003,genus (E),,Nervilia,concolor
1003,subfamily (A),,Epidendroideae,concolor
1004,genus (E),,Nervilia,crociformis
1004,subfamily (A),,Epidendroideae,crociformis
1005,genus (E),,Nervilia,gassneri
1005,subfamily (A),,Epidendroideae,gassneri
1006,genus (E),,Nervilia,kotchii
1006,subfamily (A),,Epidendroideae,kotchii
1007,genus (E),,Nervilia,nipponica
1007,subfamily (A),,Epidendroideae,nipponica
1008,genus (E),,Nervilia,pectinata
1008,subfamily (A),,Epidendroideae,pectinata
1009,subfamily (A),,Epidendroideae,petrea
1010,genus (E),,Nervilia,shirensis
1010,subfamily (A),,Epidendroideae,shirensis
1011,genus (E),,Nervilia,stolziana
1011,subfamily (A),,Epidendroideae,stolziana
1013,genus (E),,Appendicula,bracteata
1013,subfamily (A),,Epidendroideae,bracteata
1014,genus (E),,Appendicula,carinifera
1014,subfamily (A),,Epidendroideae,carinifera
1015,genus (E),,Appendicula,cleistogama
1015,subfamily (A),,Epidendroideae,cleistogama
1016,genus (E),,Appendicula,concava
1016,subfamily (A),,Epidendroideae,concava
1017,genus (E),,Appendicula,djamuensis
1017,subfamily (A),,Epidendroideae,djamuensis
1018,genus (E),,Appendicula,flaccida
1018,subfamily (A),,Epidendroideae,flaccida
1019,genus (E),,Appendicula,isoglossa
1019,subfamily (A),,Epidendroideae,isoglossa
1020,genus (E),,Appendicula,kaniensis
1020,subfamily (A),,Epidendroideae,kaniensis
1021,subfamily (A),,Epidendroideae,lutea
1022,genus (E),,Appendicula,oblonga
1022,subfamily (A),,Epidendroideae,oblonga
1023,genus (E),,Appendicula,pseudopendula
1023,subfamily (A),,Epidendroideae,pseudopendula
1024,genus (E),,Appendicula,torricelliana
1024,subfamily (A),,Epidendroideae,torricelliana
1028,genus (E),,Ceratostylis,subulata
1028,subfamily (A),,Epidendroideae,subulata
1031,genus (E),,Cylindrolobus,marginatus
1031,subfamily (A),,Epidendroideae,marginatus
1033,genus (E),,Eria,bifalcis
1033,subfamily (A),,Epidendroideae,bifalcis
1034,genus (E),,Eria,clausa
1034,subfamily (A),,Epidendroideae,clausa
1035,genus (E),,Eria,coronaria
1035,subfamily (A),,Epidendroideae,coronaria
1036,genus (E),,Eria,densa
1036,subfamily (A),,Epidendroideae,densa
1037,genus (E),,Eria,floribunda
1037,subfamily (A),,Epidendroideae,floribunda
1038,genus (E),,Eria,isochila
1038,subfamily (A),,Epidendroideae,isochila
1039,genus (E),,Eria,javanica
1039,subfamily (A),,Epidendroideae,javanica
1040,genus (E),,Eria,lasiopetala
1040,subfamily (A),,Epidendroideae,lasiopetala
1041,subfamily (A),,Epidendroideae,pubescens
1042,genus (E),,Eria,robusta
1042,subfamily (A),,Epidendroideae,robusta
1043,genus (E),,Eria,spicata
1043,subfamily (A),,Epidendroideae,spicata
1045,genus (E),,Mycaranthes,pannea
1045,subfamily (A),,Epidendroideae,pannea
1046,genus (E),,Mycaranthes,stenophylla
1046,subfamily (A),,Epidendroideae,stenophylla
1049,genus (E),,Phreatia,densiflora
1049,subfamily (A),,Epidendroideae,densiflora
1050,genus (E),,Phreatia,gracilis
1050,subfamily (A),,Epidendroideae,gracilis
1051,genus (E),,Phreatia,microphyton
1051,subfamily (A),,Epidendroideae,microphyton
1052,genus (E),,Phreatia,oreogena
1052,subfamily (A),,Epidendroideae,oreogena
1053,genus (E),,Phreatia,trilobulata
1053,subfamily (A),,Epidendroideae,trilobulata
1055,genus (E),,Pinalia,ascervata
1055,subfamily (A),,Epidendroideae,ascervata
1056,genus (E),,Pinalia,excavata
1056,subfamily (A),,Epidendroideae,excavata
1057,genus (E),,Pinalia,globulifera
1057,subfamily (A),,Epidendroideae,globulifera
1058,genus (E),,Pinalia,graminifolia
1058,subfamily (A),,Epidendroideae,graminifolia
1059,genus (E),,Pinalia,saccifera
1059,subfamily (A),,Epidendroideae,saccifera
1060,genus (E),,Pinalia,spicata
1060,subfamily (A),,Epidendroideae,spicata
1061,genus (E),,Pinalia,stricta
1061,subfamily (A),,Epidendroideae,stricta
1064,genus (E),,Thelasis,carinata
1064,subfamily (A),,Epidendroideae,carinata
1065,genus (E),,Thelasis,compacta
1065,subfamily (A),,Epidendroideae,compacta
1066,genus (E),,Thelasis,micrantha
1066,subfamily (A),,Epidendroideae,micrantha
1067,genus (E),,Thelasis,pygmaea
1067,subfamily (A),,Epidendroideae,pygmaea
1070,genus (E),,Trichotosia,teysmannii
1070,subfamily (A),,Epidendroideae,teysmannii
1071,genus (E),,Trichotosia,vulpina
1071,subfamily (A),,Epidendroideae,vulpina
1073,genus (E),,Elleanthus,aurantiacus
1073,subfamily (A),,Epidendroideae,aurantiacus
1074,genus (E),,Elleanthus,aureus
1074,subfamily (A),,Epidendroideae,aureus
1075,genus (E),,Elleanthus,brasiliensis
1075,subfamily (A),,Epidendroideae,brasiliensis
1076,genus (E),,Elleanthus,capitatus
1076,subfamily (A),,Epidendroideae,capitatus
1077,genus (E),,Elleanthus,caravata
1077,subfamily (A),,Epidendroideae,caravata
1078,genus (E),,Elleanthus,cordidactylus
1078,subfamily (A),,Epidendroideae,cordidactylus
1079,genus (E),,Elleanthus,crinipes
1079,subfamily (A),,Epidendroideae,crinipes
1080,genus (E),,Elleanthus,glaucophyllus
1080,subfamily (A),,Epidendroideae,glaucophyllus
1081,subfamily (A),,Epidendroideae,graminifolius
1082,genus (E),,Elleanthus,hymenophorus
1082,subfamily (A),,Epidendroideae,hymenophorus
1083,genus (E),,Elleanthus,lancifolius
1083,subfamily (A),,Epidendroideae,lancifolius
1084,genus (E),,Elleanthus,longibracteatus
1084,subfamily (A),,Epidendroideae,longibracteatus
1085,genus (E),,Elleanthus,robustus
1085,subfamily (A),,Epidendroideae,robustus
1086,genus (E),,Elleanthus,roseus
1086,subfamily (A),,Epidendroideae,roseus
1087,genus (E),,Elleanthus,sodiroi
1087,subfamily (A),,Epidendroideae,sodiroi
1089,genus (E),,Sobralia,andreae
1089,subfamily (A),,Epidendroideae,andreae
1090,genus (E),,Sobralia,atropubescens
1090,subfamily (A),,Epidendroideae,atropubescens
1091,genus (E),,Sobralia,bouchei
1091,subfamily (A),,Epidendroideae,bouchei
1092,genus (E),,Sobralia,caloglossa
1092,subfamily (A),,Epidendroideae,caloglossa
1093,genus (E),,Sobralia,callosa
1093,subfamily (A),,Epidendroideae,callosa
1094,genus (E),,Sobralia,chrysostoma
1094,subfamily (A),,Epidendroideae,chrysostoma
1095,genus (E),,Sobralia,ciliata
1095,subfamily (A),,Epidendroideae,ciliata
1096,genus (E),,Sobralia,citrea
1096,subfamily (A),,Epidendroideae,citrea
1097,subfamily (A),,Epidendroideae,crispissima
1098,genus (E),,Sobralia,crocea
1098,subfamily (A),,Epidendroideae,crocea
1099,genus (E),,Sobralia,decora
1099,subfamily (A),,Epidendroideae,decora
1100,genus (E),,Sobralia,dichotoma
1100,subfamily (A),,Epidendroideae,dichotoma
1101,genus (E),,Sobralia,doremiliae
1101,subfamily (A),,Epidendroideae,doremiliae
1102,genus (E),,Sobralia,exigua
1102,subfamily (A),,Epidendroideae,exigua
1103,genus (E),,Sobralia,fractiflexus
1103,subfamily (A),,Epidendroideae,fractiflexus
1104,genus (E),,Sobralia,geminata
1104,subfamily (A),,Epidendroideae,geminata
1105,genus (E),,Sobralia,gloriana
1105,subfamily (A),,Epidendroideae,gloriana
1106,genus (E),,Sobralia,helleri
1106,subfamily (A),,Epidendroideae,helleri
1107,subfamily (A),,Epidendroideae,kerryae
1108,genus (E),,Sobralia,lacerata
1108,subfamily (A),,Epidendroideae,lacerata
1109,genus (E),,Sobralia,leucoxantha
1109,subfamily (A),,Epidendroideae,leucoxantha
1110,genus (E),,Sobralia,liliastrum
1110,subfamily (A),,Epidendroideae,liliastrum
1111,genus (E),,Sobralia,lindleyana
1111,subfamily (A),,Epidendroideae,lindleyana
1112,genus (E),,Sobralia,macrantha
1112,subfamily (A),,Epidendroideae,macrantha
1113,genus (E),,Sobralia,macrophylla
1113,subfamily (A),,Epidendroideae,macrophylla
1114,genus (E),,Sobralia,mucronata
1114,subfamily (A),,Epidendroideae,mucronata
1115,genus (E),,Sobralia,quinata
1115,subfamily (A),,Epidendroideae,quinata
1116,genus (E),,Sobralia,recta
1116,subfamily (A),,Epidendroideae,recta
1117,subfamily (A),,Epidendroideae,rosea
1118,genus (E),,Sobralia,sessilis
1118,subfamily (A),,Epidendroideae,sessilis
1119,genus (E),,Sobralia,theobromina
1119,subfamily (A),,Epidendroideae,theobromina
1120,genus (E),,Sobralia,violacea
1120,subfamily (A),,Epidendroideae,violacea
1121,genus (E),,Sobralia,warszewiczii
1121,subfamily (A),,Epidendroideae,warszewiczii
1122,genus (E),,Sobralia,yauaperyensis
1122,subfamily (A),,Epidendroideae,yauaperyensis
1124,genus (E),,Pogoniopsis,schenckii
1124,subfamily (A),,Epidendroideae,schenckii
1126,genus (E),,Psilochilus,modestus
1126,subfamily (A),,Epidendroideae,modestus
1127,genus (E),,Psilochilus,physurifolius
1127,subfamily (A),,Epidendroideae,physurifolius
1129,genus (E),,Triphora,hassleriana
1129,subfamily (A),,Epidendroideae,hassleriana
1130,genus (E),,Triphora,trianthophora
1130,subfamily (A),,Epidendroideae,trianthophora
1132,genus (E),,Corymborkis,flava
1132,subfamily (A),,Epidendroideae,flava
1133,genus (E),,Corymborkis,veratrifolia
1133,subfamily (A),,Epidendroideae,veratrifolia
1135,genus (E),,Tropidia,viridifusca
1135,subfamily (A),,Epidendroideae,viridifusca
1137,genus (E),,Bromheadia,finlaysoniana
1137,subfamily (A),,Epidendroideae,finlaysoniana
1139,genus (E),,Aerangis,confusa
1139,subfamily (A),,Epidendroideae,confusa
1140,genus (E),,Aerangis,ellisii
1140,subfamily (A),,Epidendroideae,ellisii
1141,genus (E),,Aerangis,fuscata
1141,subfamily (A),,Epidendroideae,fuscata
1142,genus (E),,Aerangis,kotschyana
1142,subfamily (A),,Epidendroideae,kotschyana
1143,genus (E),,Aerangis,mystacidii
1143,subfamily (A),,Epidendroideae,mystacidii
1144,genus (E),,Aerangis,punctata
1144,subfamily (A),,Epidendroideae,punctata
1145,genus (E),,Aerangis,thomsonii
1145,subfamily (A),,Epidendroideae,thomsonii
1146,genus (E),,Aerangis,verdickii
1146,subfamily (A),,Epidendroideae,verdickii
1148,genus (E),,Aeranthes,grandiflora
1148,subfamily (A),,Epidendroideae,grandiflora
1149,genus (E),,Aeranthes,strangulata
1149,subfamily (A),,Epidendroideae,strangulata
1150,genus (E),,Aeranthes,tenella
1150,subfamily (A),,Epidendroideae,tenella
1153,genus (E),,Angraecum,arachnites
1153,subfamily (A),,Epidendroideae,arachnites
1154,genus (E),,Angraecum,borbonicum
1154,subfamily (A),,Epidendroideae,borbonicum
1155,genus (E),,Angraecum,bracteosum
1155,subfamily (A),,Epidendroideae,bracteosum
1156,genus (E),,Angraecum,cadetii
1156,subfamily (A),,Epidendroideae,cadetii
1157,genus (E),,Angraecum,calceolus
1157,subfamily (A),,Epidendroideae,calceolus
1158,genus (E),,Angraecum,caulescens
1158,subfamily (A),,Epidendroideae,caulescens
1159,genus (E),,Angraecum,compactum
1159,subfamily (A),,Epidendroideae,compactum
1160,genus (E),,Angraecum,cornigerum
1160,subfamily (A),,Epidendroideae,cornigerum
1161,subfamily (A),,Epidendroideae,costatum
1162,genus (E),,Angraecum,cucullatum
1162,subfamily (A),,Epidendroideae,cucullatum
1163,genus (E),,Angraecum,cultriforme
1163,subfamily (A),,Epidendroideae,cultriforme
1164,genus (E),,Angraecum,eburneum
1164,subfamily (A),,Epidendroideae,eburneum
1165,genus (E),,Angraecum,expansum
1165,subfamily (A),,Epidendroideae,expansum
1166,genus (E),,Angraecum,germinyanum
1166,subfamily (A),,Epidendroideae,germinyanum
1167,genus (E),,Angraecum,inapertum
1167,subfamily (A),,Epidendroideae,inapertum
1168,genus (E),,Angraecum,liliodorum
1168,subfamily (A),,Epidendroideae,liliodorum
1169,genus (E),,Angraecum,mauritianum
1169,subfamily (A),,Epidendroideae,mauritianum
1170,genus (E),,Angraecum,multiflorum
1170,subfamily (A),,Epidendroideae,multiflorum
1171,subfamily (A),,Epidendroideae,obsversifolium
1172,genus (E),,Angraecum,patens
1172,subfamily (A),,Epidendroideae,patens
1173,genus (E),,Angraecum,pectinatum
1173,subfamily (A),,Epidendroideae,pectinatum
1174,genus (E),,Angraecum,pingue
1174,subfamily (A),,Epidendroideae,pingue
1175,genus (E),,Angraecum,ramosum
1175,subfamily (A),,Epidendroideae,ramosum
1176,genus (E),,Angraecum,sesquipedale
1176,subfamily (A),,Epidendroideae,sesquipedale
1177,genus (E),,Angraecum,spicatum
1177,subfamily (A),,Epidendroideae,spicatum
1178,genus (E),,Angraecum,sororium
1178,subfamily (A),,Epidendroideae,sororium
1179,genus (E),,Angraecum,striatum
1179,subfamily (A),,Epidendroideae,striatum
1180,genus (E),,Angraecum,tenuifolium
1180,subfamily (A),,Epidendroideae,tenuifolium
1183,genus (E),,Campylocentrum,burchellii
1183,subfamily (A),,Epidendroideae,burchellii
1184,genus (E),,Campylocentrum,micranthum
1184,subfamily (A),,Epidendroideae,micranthum
1187,genus (E),,Cyrtorchis,hamata
1187,subfamily (A),,Epidendroideae,hamata
1188,genus (E),,Cyrtorchis,okuensis
1188,subfamily (A),,Epidendroideae,okuensis
1191,genus (E),,Jumellea,exile
1191,subfamily (A),,Epidendroideae,exile
1192,genus (E),,Jumellea,fragrans
1192,subfamily (A),,Epidendroideae,fragrans
1193,genus (E),,Jumellea,recta
1193,subfamily (A),,Epidendroideae,recta
1194,genus (E),,Jumellea,recurva
1194,subfamily (A),,Epidendroideae,recurva
1195,genus (E),,Jumellea,rossii
1195,subfamily (A),,Epidendroideae,rossii
1196,genus (E),,Jumellea,stenophylla
1196,subfamily (A),,Epidendroideae,stenophylla
1197,genus (E),,Jumellea,stipitata
1197,subfamily (A),,Epidendroideae,stipitata
1198,genus (E),,Jumellea,teretifolia
1198,subfamily (A),,Epidendroideae,teretifolia
1199,subfamily (A),,Epidendroideae,triquetra
1200,genus (E),,Jumellea,walleri
1200,subfamily (A),,Epidendroideae,walleri
1202,genus (E),,Mystacidium,brayboniae
1202,subfamily (A),,Epidendroideae,brayboniae
1203,genus (E),,Mystacidium,capense
1203,subfamily (A),,Epidendroideae,capense
1204,genus (E),,Mystacidium,flanaganii
1204,subfamily (A),,Epidendroideae,flanaganii
1205,genus (E),,Mystacidium,gracile
1205,subfamily (A),,Epidendroideae,gracile
1206,genus (E),,Mystacidium,pusillum
1206,subfamily (A),,Epidendroideae,pusillum
1207,genus (E),,Mystacidium,tanganyikense
1207,subfamily (A),,Epidendroideae,tanganyikense
1208,genus (E),,Mystacidium,venosum
1208,subfamily (A),,Epidendroideae,venosum
1213,genus (E),,Rangaeris,muscicola
1213,subfamily (A),,Epidendroideae,muscicola
1214,subfamily (A),,Epidendroideae,caffrum
1215,genus (E),,Rhipidoglossum,millarii
1215,subfamily (A),,Epidendroideae,millarii
1218,genus (E),,Acampe,ochracea
1218,subfamily (A),,Epidendroideae,ochracea
1219,genus (E),,Acampe,pachyglossa
1219,subfamily (A),,Epidendroideae,pachyglossa
1220,genus (E),,Acampe,papillosa
1220,subfamily (A),,Epidendroideae,papillosa
1221,genus (E),,Acampe,praemorsa
1221,subfamily (A),,Epidendroideae,praemorsa
1223,genus (E),,Aerides,flabellata
1223,subfamily (A),,Epidendroideae,flabellata
1224,genus (E),,Aerides,odorata
1224,subfamily (A),,Epidendroideae,odorata
1225,genus (E),,Aerides,praemorsa
1225,subfamily (A),,Epidendroideae,praemorsa
1232,genus (E),,Cleisostoma,fuerstenbergianum
1232,subfamily (A),,Epidendroideae,fuerstenbergianum
1233,genus (E),,Cleisostoma,linearilobatum
1233,subfamily (A),,Epidendroideae,linearilobatum
1234,genus (E),,Cleisostoma,paniculatum
1234,subfamily (A),,Epidendroideae,paniculatum
1235,genus (E),,Cleisostoma,parishii
1235,subfamily (A),,Epidendroideae,parishii
1236,genus (E),,Cleisostoma,scolopendrifolium
1236,subfamily (A),,Epidendroideae,scolopendrifolium
1237,genus (E),,Cleisostoma,williamsonii
1237,subfamily (A),,Epidendroideae,williamsonii
1238,genus (E),,Cleisostoma,yersinii
1238,subfamily (A),,Epidendroideae,yersinii
1241,genus (E),,Diaphananthe,millarii
