excel_row,column,before,after
2174,pollinators (AF),DIPTERA:  Mycetophiilidae,DIPTERA:  Mycetophilidae
2176,pollinators (AF),DIPTERA:  Exechia thomsoni (Mycetophiilidae),DIPTERA:  Exechia thomsoni (Mycetophilidae)
2196,pollinators (AF),"HYMENOPTERA:  Thynnoides sp.C, Campylothynnus sp. A (Thinnidae)","HYMENOPTERA:  Thynnoides sp.C, Campylothynnus sp. A (Thynnidae)"
2220,pollinators (AF),"HYMENOPTERA:  gen nov 3, sp A (Thynnindae)","HYMENOPTERA:  gen nov 3, sp A (Thynnidae)"
2249,pollinators (AF),"HYMENOPTERA: gen nov 3, sp. A (Thynnindae)","HYMENOPTERA: gen nov 3, sp. A (Thynnidae)"
2276,pollinators (AF),HYMENOPTERA:  Thynnine wasps (Thinnidae),HYMENOPTERA:  Thynnine wasps (Thynnidae)
2277,pollinators (AF),HYMENOPTERA:  Thynnine wasps (Thinnidae),HYMENOPTERA:  Thynnine wasps (Thynnidae)
2283,pollinators (AF),HYMENOPTERA:  Phymatothynnus nr. nitidus (Thynnindae),HYMENOPTERA:  Phymatothynnus nr. nitidus (Thynnidae)
2335,pollinators (AF),HYMENOPTERA:  Arthrothynnus latus (Thyniidae wasps),HYMENOPTERA:  Arthrothynnus latus (Thynnidae wasps)
2366,pollinators (AF),DIPTERA:  (Choropidae),DIPTERA:  (Chloropidae)
2367,pollinators (AF),DIPTERA:  (Choropidae),DIPTERA:  (Chloropidae)
2368,pollinators (AF),DIPTERA:  Caviceps (Choropidae),DIPTERA:  Caviceps (Chloropidae)
2369,pollinators (AF),DIPTERA:  (Choropidae),DIPTERA:  (Chloropidae)
2370,pollinators (AF),DIPTERA:  Conioscinella sp. (Choropidae),DIPTERA:  Conioscinella sp. (Chloropidae)
2371,pollinators (AF),DIPTERA:  (Choropidae),DIPTERA:  (Chloropidae)
2372,pollinators (AF),"DIPTERA:  Conioscinella,  Cadrema (Choropidae)","DIPTERA:  Conioscinella,  Cadrema (Chloropidae)"
2373,pollinators (AF),DIPTERA:  Caviceps (Choropidae),DIPTERA:  Caviceps (Chloropidae)
2374,pollinators (AF),DIPTERA: Caviceps (Choropidae),DIPTERA: Caviceps (Chloropidae)
2377,pollinators (AF),"DIPTERA:  Caviceps flavipes, Liocinella (Choropidae); Stomosis (Milichiidae)","DIPTERA:  Caviceps flavipes, Liocinella (Chloropidae); Stomosis (Milichiidae)"
2378,pollinators (AF),DIPTERA:  Conioscinella sp (Choropidae),DIPTERA:  Conioscinella sp (Chloropidae)
2419,pollinators (AF),HYMENOPTERA:  Leioproctus sp. (Colletidae);  Lassioglossum sp. (Halictidae),HYMENOPTERA:  Leioproctus sp. (Colletidae);  Lasioglossum sp. (Halictidae)
2453,pollinators (AF),HYMENOPTERA: Rediviva longimanus (Mellitidae),HYMENOPTERA: Rediviva longimanus (Melittidae)
2474,pollinators (AF),HYMENOPTERA: Rediviva gigas (Mellitidae bees),HYMENOPTERA: Rediviva gigas (Melittidae bees)
2475,pollinators (AF),HYMENOPTERA: Rediviva gigas (Mellitidae bees),HYMENOPTERA: Rediviva gigas (Melittidae bees)
2480,pollinators (AF),HYMENOPTERA: Rediviva gigas (Mellitidae bees),HYMENOPTERA: Rediviva gigas (Melittidae bees)
2489,pollinators (AF),HYMENOPTERA:  Rediviva gigas (Mellitidae),HYMENOPTERA:  Rediviva gigas (Melittidae)
2501,pollinators (AF),HYMENOPTERA:  Rediviva longimanus (Mellitidae bees),HYMENOPTERA:  Rediviva longimanus (Melittidae bees)
2511,pollinators (AF),"COLEOPTERA: Rhagonycha nigritarsis (Cantharidae); Oedemera nobilis (Oedemeridae). HYMENOPTERA: Apis mellifera, Bombus lucorum, B. praetorum, Nomada cretensis, Xylocopa iris, X. violacea, X. valga (Apidae), Halictus sp. (Halictidae); Osmia cornuta (Megachilidae); Scolid sp. (Scolidae wasp); Vespula vulgaris (Vespidae). HEMIPTERA: Lygaeus saxatilis (Lygaeidae). LEPIDOPTERA: Zygaena filipendulae, Z. grasilini (Zygaenidae)","COLEOPTERA: Rhagonycha nigritarsis (Cantharidae); Oedemera nobilis (Oedemeridae). HYMENOPTERA: Apis mellifera, Bombus lucorum, B. praetorum, Nomada cretensis, Xylocopa iris, X. violacea, X. valga (Apidae), Halictus sp. (Halictidae); Osmia cornuta (Megachilidae); Scolid sp. (Scoliidae wasp); Vespula vulgaris (Vespidae). HEMIPTERA: Lygaeus saxatilis (Lygaeidae). LEPIDOPTERA: Zygaena filipendulae, Z. grasilini (Zygaenidae)"
2515,pollinators (AF),"COLEOPTERA: Tropinota hirta (Scarabaeidae).  HYMENOPTERA:  Andrena albopunctata, A. ovalata  (Andrenidae);  Anthophora retusa, Apis mellifera, Bombus  argillaceus, B. bohemicus, B. confusus, B. horturum, B. humilis, B. lapidarius, B. lucorum, B. muscorum, B. pascuorum, B. pratorum, B. ruderatus, B.rupestris, B. subterraneus, B. sylvarum, B. sylvestris, B. terrestris, B. vestalis, Eucera curvitarsis, E. hungarica, E. kullenbergi, E. longicornis, E. nigra, E. nigreescens, E.nigrilabris, E. pollinosa, E. rufa, E. seminuda, Nomada sexfasciata  (Apidae);  Halictus cochleareitarsis, H. patellatus, H. quadricinctus, Lasioglossum xanthopus (Halictidae);  Dasypoda hirtipes (Mellitidae); Osmia aurulenta, O. bicornis, O. rufa (Megachilidae). LEPIDOPTERA: Anthocharis euphenoides, Pontia deplidice (Pieridae), Cucullia santonici, Hadena plebeja, H. luteocincta (Noctuidae);  Macroglossum stellatarum (Sphingidae);  Zygaena lonicerae (Zygaenidae)","COLEOPTERA: Tropinota hirta (Scarabaeidae).  HYMENOPTERA:  Andrena albopunctata, A. ovalata  (Andrenidae);  Anthophora retusa, Apis mellifera, Bombus  argillaceus, B. bohemicus, B. confusus, B. horturum, B. humilis, B. lapidarius, B. lucorum, B. muscorum, B. pascuorum, B. pratorum, B. ruderatus, B.rupestris, B. subterraneus, B. sylvarum, B. sylvestris, B. terrestris, B. vestalis, Eucera curvitarsis, E. hungarica, E. kullenbergi, E. longicornis, E. nigra, E. nigreescens, E.nigrilabris, E. pollinosa, E. rufa, E. seminuda, Nomada sexfasciata  (Apidae);  Halictus cochleareitarsis, H. patellatus, H. quadricinctus, Lasioglossum xanthopus (Halictidae);  Dasypoda hirtipes (Melittidae); Osmia aurulenta, O. bicornis, O. rufa (Megachilidae). LEPIDOPTERA: Anthocharis euphenoides, Pontia deplidice (Pieridae), Cucullia santonici, Hadena plebeja, H. luteocincta (Noctuidae);  Macroglossum stellatarum (Sphingidae);  Zygaena lonicerae (Zygaenidae)"
2518,pollinators (AF),"COLEOPTERA: Trichius fasciatus, Tropinota squalida (Scarabaeidae).  DIPTERA: Episyrphus balteatus (Syrphidae); Billaea lata (Tachinidae).  HYMENOPTERA: Apis mellifera, Bombus hortorum (Apidae). LEPIDOPTERA: Anthocharis cardamines, Aporia crataegi, Pieris napi (Pieridae); Glycopsyche alexis, Lycaena phlaeus, Lysandra bellargus, Plebejus argus, Polyommatus alexis, P. bellargus (Lycaenidae); Eubolia mensuraria, Siona lineata (Geometrid); Aglais urticae, Argynnis adippe  Brenthis hecate, B. ino, Euphydryas aurinia, Maniola jurtina, Melanargia galathea, Melitaea athalia, M. cinxia, M. didyma, M. parthenoides, M. phoebe  (Nymphalidae); Agrotis cataleuca, Acontia luctuosa, Caradrina alsines, C. blanda, Euclidia glyphica, Lithosia complana (Erebidae); Hesperia linea, H. sylvanus, Ochlodes neatus, Pyrgus carthami, P. malvae,  P. alveolus, P. sidae, Spialia orbifer, Thymelicus lineolus, T. sylvestris (Hesperidae); Amata nigricornis, Apamea monoglypha, A. sublustris, Cucullia caninae, Hadena dentina, H. monoglypha, Heliothis marginata, H. peltigera, Leucania lithargyria, Mythimna sicula, Shargacucullia caninae, Toxocampa pastinum, Tyta luctuosa (Noctuidae);  Spilodes cinctalis, S. palealis (Crambidae);  Coenonymha glycerion, Maniola jurtina, Melanargia galathea (Satyridae);Erynnis tages, Hemaris fuciformis, Macroglossum stellatarum (Sphingidae); Adscita geryon, A. staties,  Zygaena brizae, Z. carnicolica, Z. corsica, Z. filipendulae, Z. lonicerae, Z. loti, Z. minos, Z. punctum, Z. purpuralis, Z. trifolii, Z viciae (Zygaenidae: Lepidoptera). ","COLEOPTERA: Trichius fasciatus, Tropinota squalida (Scarabaeidae).  DIPTERA: Episyrphus balteatus (Syrphidae); Billaea lata (Tachinidae).  HYMENOPTERA: Apis mellifera, Bombus hortorum (Apidae). LEPIDOPTERA: Anthocharis cardamines, Aporia crataegi, Pieris napi (Pieridae); Glycopsyche alexis, Lycaena phlaeus, Lysandra bellargus, Plebejus argus, Polyommatus alexis, P. bellargus (Lycaenidae); Eubolia mensuraria, Siona lineata (Geometrid); Aglais urticae, Argynnis adippe  Brenthis hecate, B. ino, Euphydryas aurinia, Maniola jurtina, Melanargia galathea, Melitaea athalia, M. cinxia, M. didyma, M. parthenoides, M. phoebe  (Nymphalidae); Agrotis cataleuca, Acontia luctuosa, Caradrina alsines, C. blanda, Euclidia glyphica, Lithosia complana (Erebidae); Hesperia linea, H. sylvanus, Ochlodes neatus, Pyrgus carthami, P. malvae,  P. alveolus, P. sidae, Spialia orbifer, Thymelicus lineolus, T. sylvestris (Hesperiidae); Amata nigricornis, Apamea monoglypha, A. sublustris, Cucullia caninae, Hadena dentina, H. monoglypha, Heliothis marginata, H. peltigera, Leucania lithargyria, Mythimna sicula, Shargacucullia caninae, Toxocampa pastinum, Tyta luctuosa (Noctuidae);  Spilodes cinctalis, S. palealis (Crambidae);  Coenonymha glycerion, Maniola jurtina, Melanargia galathea (Satyridae);Erynnis tages, Hemaris fuciformis, Macroglossum stellatarum (Sphingidae); Adscita geryon, A. staties,  Zygaena brizae, Z. carnicolica, Z. corsica, Z. filipendulae, Z. lonicerae, Z. loti, Z. minos, Z. punctum, Z. purpuralis, Z. trifolii, Z viciae (Zygaenidae: Lepidoptera). "
2546,pollinators (AF),"COLEOPTERA: Acmaeops collaris, Alosterna tabacicolor, Anastrangalia dubia, A. reyi, A. sanguinolenta, Anoplodera sexguttata, Dinoptera collaris, Gaurotes virgineus, Grammoptera ruficornis, Pachytodes cerambyciformis, Judolia sexmaculata, Leptura aethiops, L. maculata, L. maculicornis, Rutpela maculata, Stenurella bifasciata, S. melanura, Strangalia maculata (Cerambycidae); Cantharis rustica (Cantharidae); Plateumaris inutes (Chrysomelidae); Dascillus cervinus (Dascillidae); Cidnopus pilosus (Elateridae); Oedemera femorata, O. podagrariae, O. virescens (Oedemeridae); Trichius fasciatus, T. rosaceus (Scarabaeidae).  DIPTERA:  Eulalia hydroleon, Odontomyia hydroleon (Stratiomyidae); Empis tesselata (Empidae );  Eristalis arbustorum (Syrphidae).  HYMENOPTERA:  Andrena fucata, A. helvola (Andrenidae);  Apis mellifera, Bombus lapidarius, B. lucorum, B. pascuorum, B. pratorum, B. terrestris (Apidae).","COLEOPTERA: Acmaeops collaris, Alosterna tabacicolor, Anastrangalia dubia, A. reyi, A. sanguinolenta, Anoplodera sexguttata, Dinoptera collaris, Gaurotes virgineus, Grammoptera ruficornis, Pachytodes cerambyciformis, Judolia sexmaculata, Leptura aethiops, L. maculata, L. maculicornis, Rutpela maculata, Stenurella bifasciata, S. melanura, Strangalia maculata (Cerambycidae); Cantharis rustica (Cantharidae); Plateumaris inutes (Chrysomelidae); Dascillus cervinus (Dascillidae); Cidnopus pilosus (Elateridae); Oedemera femorata, O. podagrariae, O. virescens (Oedemeridae); Trichius fasciatus, T. rosaceus (Scarabaeidae).  DIPTERA:  Eulalia hydroleon, Odontomyia hydroleon (Stratiomyidae); Empis tesselata (Empididae );  Eristalis arbustorum (Syrphidae).  HYMENOPTERA:  Andrena fucata, A. helvola (Andrenidae);  Apis mellifera, Bombus lapidarius, B. lucorum, B. pascuorum, B. pratorum, B. terrestris (Apidae)."
2548,pollinators (AF),"COLEOPTERA:  Oedemera nobilis O. lurida (Oedemeridae); A losterna tabacicolor, Paracorymbia maculicornis, Pachytodes cerambyciformis, Ruptela maculata (Cerambycidae);  Cantharis fusca (Cantharidae).  DIPTERA:   Volucella pellucens, V. bombylans (Syrphidae);  Empis tessellata (Empidae).   HYMENOPTERA:  Apis mellifera, Bombus humilis, B. terrestris, B. pascuorum, B. pratorum (Apidae).  ","COLEOPTERA:  Oedemera nobilis O. lurida (Oedemeridae); A losterna tabacicolor, Paracorymbia maculicornis, Pachytodes cerambyciformis, Rutpela maculata (Cerambycidae);  Cantharis fusca (Cantharidae).  DIPTERA:   Volucella pellucens, V. bombylans (Syrphidae);  Empis tessellata (Empididae).   HYMENOPTERA:  Apis mellifera, Bombus humilis, B. terrestris, B. pascuorum, B. pratorum (Apidae).  "
2550,pollinators (AF),"COLEOPTERA: Alosterna tabacicolor, Anastrangalia dubia, Anoplodera sexguttata, Clytus arietis, Dinoptera collaris, Pidonia lurida, Rutpela maculata, Stenurella melanura, Strangalia atra, S. maculata (Cerambycidae); Cantharis fusca, C. rustica (Cantharidae); Plateumaris discolor (Chrysomelidae); Dascillus cervinus (Dascillidae); Chrysanthia viridissima, Oedemeria atra, O. nobilis, O. podagrariae (Oedemeridae); Pyrochroa pectinicornis (Pyrochroidae); Trichius fasciatus (Scarabaeidae). DIPTERA: Empis livida, E. pennipes, E. tessellata (Empidae); Fallenia fasciata (Nemestrinidae); Scathophaga stercoraria (Scathophagidae); Eristalis arbustorum, E. horticola, E. tenax, Volucella bombylans (Syrphidae). HYMENOPTERA: Bombus hortorum, B. muscorum B. pascorum, B. terrestris, B. barbutellus, B. globusus (Apidae); Halictus calceatus (Halictidae)","COLEOPTERA: Alosterna tabacicolor, Anastrangalia dubia, Anoplodera sexguttata, Clytus arietis, Dinoptera collaris, Pidonia lurida, Rutpela maculata, Stenurella melanura, Strangalia atra, S. maculata (Cerambycidae); Cantharis fusca, C. rustica (Cantharidae); Plateumaris discolor (Chrysomelidae); Dascillus cervinus (Dascillidae); Chrysanthia viridissima, Oedemeria atra, O. nobilis, O. podagrariae (Oedemeridae); Pyrochroa pectinicornis (Pyrochroidae); Trichius fasciatus (Scarabaeidae). DIPTERA: Empis livida, E. pennipes, E. tessellata (Empididae); Fallenia fasciata (Nemestrinidae); Scathophaga stercoraria (Scathophagidae); Eristalis arbustorum, E. horticola, E. tenax, Volucella bombylans (Syrphidae). HYMENOPTERA: Bombus hortorum, B. muscorum B. pascorum, B. terrestris, B. barbutellus, B. globusus (Apidae); Halictus calceatus (Halictidae)"
