excel_row,column,before,after
2551,pollinators (AF),"COLEOPTERA: Actenicerus sjaelandicus (Elateridae).  DIPTERA:  Empis tessellata (Empidae).  HYMENOPTERA:  Apis mellifera, Bombus lucorum, B. pascuorum, B. pratorum, B. sichelii, B. soroeensis, B. ruderarius, B. terrestris, Eucera longicornis, Nomada sexfasciata (Apidae);  Halictus leucozonius (Halictidae). ","COLEOPTERA: Actenicerus sjaelandicus (Elateridae).  DIPTERA:  Empis tessellata (Empididae).  HYMENOPTERA:  Apis mellifera, Bombus lucorum, B. pascuorum, B. pratorum, B. sichelii, B. soroeensis, B. ruderarius, B. terrestris, Eucera longicornis, Nomada sexfasciata (Apidae);  Halictus leucozonius (Halictidae). "
2553,pollinators (AF),"COLEOPTERA: Trichius fasciatus (Scarabaeidae). HYMENOPTERA: Eucera longicornis, Bombus pascuorum, B. terrestris (Apidae). LEPTIDOPTERA: Zygaena trifolii (Zygaenidae)","COLEOPTERA: Trichius fasciatus (Scarabaeidae). HYMENOPTERA: Eucera longicornis, Bombus pascuorum, B. terrestris (Apidae). LEPIDOPTERA: Zygaena trifolii (Zygaenidae)"
2556,pollinators (AF),"HYMENOPTERA: Andrena nigroaenea (Andrenidae), Apis mellifera, Bombus barbutellus, B. bohemicus, B. hortorum, B. hypnorum, B. humilis, B. lapidarius, B. lucorum, B. muscorum, B. pascuorum, B. ruderarius, B. ruderatus, B. soroeensis, B. sylvarum, B. terrestris, B. vestalis,  (Apidae); Osmia bicolor (Megachilidae); Halictus sp. (Halictidae). LEPIDOPTERA: Pyrgus malvae (Hesperidae); Gonepteryx rhamni (Pieridae)","HYMENOPTERA: Andrena nigroaenea (Andrenidae), Apis mellifera, Bombus barbutellus, B. bohemicus, B. hortorum, B. hypnorum, B. humilis, B. lapidarius, B. lucorum, B. muscorum, B. pascuorum, B. ruderarius, B. ruderatus, B. soroeensis, B. sylvarum, B. terrestris, B. vestalis,  (Apidae); Osmia bicolor (Megachilidae); Halictus sp. (Halictidae). LEPIDOPTERA: Pyrgus malvae (Hesperiidae); Gonepteryx rhamni (Pieridae)"
2568,pollinators (AF),"COLEOPTERA: Unidentified sp.  DIPTERA:  Empis  sp., E. tessellata (Empidae).  HYMENOPTERA:  Bombus (Apidae).  LEPIDOPTERA:  Eudonia sudetica, Crambus lathoniellus, Catoptria radiella, Crambus sp., Pyrausta despicata (Cramabidae); Ochlodes sylvanus, Thymelicus sylvestris  (Hesperiidae); Plebejus idas, P. orbitulus, Polyommatus sp. (Lycaenidae); Argynnis adippe, Euphydryas aurinia, Vanessa cardui (Nymphalidae); Aporia crataegi (Pieridae); Hellinsia osteodactyla, Pterophoridae sp. (Pterophoridae), Oncocera semirubella (Pyralidae);  Boloria sp., Pyrgus centaurea, Hemaris tityus, Entephtia caesiata, (Geometridae);  Autographa bractea, A. gamma, A. pulchrina, Mythimna conigera, Papestra biren, Phytometra viridaria (Noctuidae, 3 genera, 5 spp); Deilephila porcellus, Hyles euphorbiae, H. gallii, H. livornica; Macroglossum stellatarum, Sphinx ligustri (Sphingidae);  Adscita geryon, Adscita 2 spp, Aglais urticae, Pteris brassicae, Sioona lineata, Zygaena exulans, Z. filipendulae, Z. lonicerae, Z. minos, Z. trifoli (Zygaenidae).  ","COLEOPTERA: Unidentified sp.  DIPTERA:  Empis  sp., E. tessellata (Empididae).  HYMENOPTERA:  Bombus (Apidae).  LEPIDOPTERA:  Eudonia sudetica, Crambus lathoniellus, Catoptria radiella, Crambus sp., Pyrausta despicata (Crambidae); Ochlodes sylvanus, Thymelicus sylvestris  (Hesperiidae); Plebejus idas, P. orbitulus, Polyommatus sp. (Lycaenidae); Argynnis adippe, Euphydryas aurinia, Vanessa cardui (Nymphalidae); Aporia crataegi (Pieridae); Hellinsia osteodactyla, Pterophoridae sp. (Pterophoridae), Oncocera semirubella (Pyralidae);  Boloria sp., Pyrgus centaurea, Hemaris tityus, Entephtia caesiata, (Geometridae);  Autographa bractea, A. gamma, A. pulchrina, Mythimna conigera, Papestra biren, Phytometra viridaria (Noctuidae, 3 genera, 5 spp); Deilephila porcellus, Hyles euphorbiae, H. gallii, H. livornica; Macroglossum stellatarum, Sphinx ligustri (Sphingidae);  Adscita geryon, Adscita 2 spp, Aglais urticae, Pteris brassicae, Sioona lineata, Zygaena exulans, Z. filipendulae, Z. lonicerae, Z. minos, Z. trifoli (Zygaenidae).  "
2571,pollinators (AF),"DIPTERA: Thricops aculeipes (Muscidae).  HYMENOPTERA: Apis mellifera (Apidae).  LEPIDOPTERA:  Crambus periella, C. rostellus, Diasemia literata, D. reticularis, Leucania comma (Crambidae);  Cleogene lutearia, Crocota tinctaria, Mallomus aculeipes (Geometridae); Hesperia serratule (Hesperidae); Autographa gamma, Chersotis ocellina, Lasionycta imbecilla, Mythimna imbecilla (Noctuidae);  Agrynnis euphrosyne, Melitaea athalis, M. parthenie, Erebia melampus (Nymphalidae);  Adscita statices, Zygaena achillae, Z. exulans, Z. alpina, Z. filipendulae, Z. loti, Z. transalpina, Z. trifolii (Zygaenidae). ","DIPTERA: Thricops aculeipes (Muscidae).  HYMENOPTERA: Apis mellifera (Apidae).  LEPIDOPTERA:  Crambus periella, C. rostellus, Diasemia literata, D. reticularis, Leucania comma (Crambidae);  Cleogene lutearia, Crocota tinctaria, Mallomus aculeipes (Geometridae); Hesperia serratule (Hesperiidae); Autographa gamma, Chersotis ocellina, Lasionycta imbecilla, Mythimna imbecilla (Noctuidae);  Agrynnis euphrosyne, Melitaea athalis, M. parthenie, Erebia melampus (Nymphalidae);  Adscita statices, Zygaena achillae, Z. exulans, Z. alpina, Z. filipendulae, Z. loti, Z. transalpina, Z. trifolii (Zygaenidae). "
2598,pollinators (AF),"LEPIDOPTERA:  Cumbre sp., Vehilius clavicula, Urbanus teleus, U. zagorius (Hesperidae)","LEPIDOPTERA:  Cumbre sp., Vehilius clavicula, Urbanus teleus, U. zagorius (Hesperiidae)"
2605,pollinators (AF),"LEPIDOPTERA:  Parnara guttata, Pelopidas mathias, Polytremis pellucida (Hesperidae), Theretra japonica, heretra oldenlandiae (Sphingidae)","LEPIDOPTERA:  Parnara guttata, Pelopidas mathias, Polytremis pellucida (Hesperiidae), Theretra japonica, heretra oldenlandiae (Sphingidae)"
2616,pollinators (AF),"COLEOPTERA: Tropinota squalida (Scarabaeidae).  HYMENOPTERA: Andrena carbonaria, A. haemorrhoa, A. nigroaenea, A. potentillae (Andrenidae); Anthidiium manicatum, Apis mellifera (Apidae); Colletes daviesanus, C. similis (Colletidae). ","COLEOPTERA: Tropinota squalida (Scarabaeidae).  HYMENOPTERA: Andrena carbonaria, A. haemorrhoa, A. nigroaenea, A. potentillae (Andrenidae); Anthidium manicatum, Apis mellifera (Apidae); Colletes daviesanus, C. similis (Colletidae). "
2646,pollinators (AF),HHYMENOPTERA:  Anthophora plagiata (Apidae),HYMENOPTERA:  Anthophora plagiata (Apidae)
2670,pollinators (AF),HYMENOPTERA:  HYMENOTERA:  Eucera dalmatica (Apidae),HYMENOPTERA:  HYMENOPTERA:  Eucera dalmatica (Apidae)
2671,pollinators (AF),"HYMENOPTERA:  HYMENOTERA:  Eucera hispana, E. furfurea (Apidae)","HYMENOPTERA:  HYMENOPTERA:  Eucera hispana, E. furfurea (Apidae)"
2834,pollinators (AF),"COLEOPTERA: Cantharis fusca, C. rustica (Cantharidae);  Strangalia atra (Cerambycidae);  Adelocera murina, Cidnopus minutus, C. pilosus (Elateridae);  Isomira murina (Tenebrionidae).  DIPTERA: Empis pennipes (Empidae);  Platycheirus manicatus (Syrphidae).  HYMENOPTERA: Arge thoracia (Argidae ); Chrysis sp. (Chrysidae ); Anthous niger, Formica fusca (Formicidae); Tenthredopsis carbonaria, T. litterata (Tenthredinidae)","COLEOPTERA: Cantharis fusca, C. rustica (Cantharidae);  Strangalia atra (Cerambycidae);  Adelocera murina, Cidnopus minutus, C. pilosus (Elateridae);  Isomira murina (Tenebrionidae).  DIPTERA: Empis pennipes (Empididae);  Platycheirus manicatus (Syrphidae).  HYMENOPTERA: Arge thoracia (Argidae ); Chrysis sp. (Chrysididae ); Anthous niger, Formica fusca (Formicidae); Tenthredopsis carbonaria, T. litterata (Tenthredinidae)"
2838,pollinators (AF),"COLEOPTERA:  Strangalia atra (Cerambycidae). DIPTERA: Bombylius major (Bombyliidae); Empis livida, E. pennipes, E. tesselata (Empidae); Scatophagia stercoraria (Scatophagidae).  HYMENOPTERA:  Andrena bicolor, A. haemorrhoa, A. helvola, A. nigroaenea, A. nitida (Andrenidae);  Apis mellifera, Bombus barbutellus, B. bohemicus, B. campestris, B. confusus, B. hortorum, B. humilis, B. lapidarius, B. lucorum, B. muscorum, B. pascuorum, B. pratorum, B. ruderarius, B. ruderatus, B. rupestris, B. subterraneus, B. sylvarum, B. sylvestris, B. terrestris, Eucera hungarica, E. interrupta, E. longicornis, E. nigra, Nomada marshamella, Xylocopa violacea (Apidae);  Argogorytes mystaceus (Crabronidae);  Halictus sexcinctus (Halictidae);  Osmia bicolor, O. rufa (Megachilidae). LEPIDOPTERA:  Minucia lunaris (Noctuidae); Zygaena transalpina (Zygaenidae).","COLEOPTERA:  Strangalia atra (Cerambycidae). DIPTERA: Bombylius major (Bombyliidae); Empis livida, E. pennipes, E. tesselata (Empididae); Scatophagia stercoraria (Scathophagidae).  HYMENOPTERA:  Andrena bicolor, A. haemorrhoa, A. helvola, A. nigroaenea, A. nitida (Andrenidae);  Apis mellifera, Bombus barbutellus, B. bohemicus, B. campestris, B. confusus, B. hortorum, B. humilis, B. lapidarius, B. lucorum, B. muscorum, B. pascuorum, B. pratorum, B. ruderarius, B. ruderatus, B. rupestris, B. subterraneus, B. sylvarum, B. sylvestris, B. terrestris, Eucera hungarica, E. interrupta, E. longicornis, E. nigra, Nomada marshamella, Xylocopa violacea (Apidae);  Argogorytes mystaceus (Crabronidae);  Halictus sexcinctus (Halictidae);  Osmia bicolor, O. rufa (Megachilidae). LEPIDOPTERA:  Minucia lunaris (Noctuidae); Zygaena transalpina (Zygaenidae)."
2847,pollinators (AF),DIPTERA:  Bombylius major (Bombylidae) ,DIPTERA:  Bombylius major (Bombyliidae) 
2855,pollinators (AF),"LEPIDOPTERA: Cucullia umbratica (Erabidae); Anaitis plagiata, Aplocera plagiata, Entepheria caesiata, Gnophos myrtillata, G. obfuscata (Geometridae);  Agrotis segetum, Apamaea furva, A. monoglypha, Autographa gamma, A. pulchrina, Hada plebeja, Hadena dentina, H. nana, H. silenes, Heliophobus reticulata, Noctua pronuba, Orthosia stabilis, Plusia aureum, P. gamma, Sideridis reticulata (Noctuidae); Deilephila elpenor, D. porcellus, Hyles euphorbiae, H. gallii, Sphinx ligustri, S. pinastri (Sphingidae)","LEPIDOPTERA: Cucullia umbratica (Erebidae); Anaitis plagiata, Aplocera plagiata, Entepheria caesiata, Gnophos myrtillata, G. obfuscata (Geometridae);  Agrotis segetum, Apamaea furva, A. monoglypha, Autographa gamma, A. pulchrina, Hada plebeja, Hadena dentina, H. nana, H. silenes, Heliophobus reticulata, Noctua pronuba, Orthosia stabilis, Plusia aureum, P. gamma, Sideridis reticulata (Noctuidae); Deilephila elpenor, D. porcellus, Hyles euphorbiae, H. gallii, Sphinx ligustri, S. pinastri (Sphingidae)"
2856,pollinators (AF),"HYMENOPTERA:  Apis mellifera, Bombus fervidus, B. vagans (Apidae).  LEPIDOPTERA:  Epargyreus claurs, Euphyes ruricola, Polites coras , P. mystic (Hesperidae); Strymon melinus (Lycaenidae);  Agrotis sp. (Noctuidae);  Danaus plexippus (Nymphalidae);  Papilio glaucus, P. troilus (Papillionidae); Colias philodice, Artogeia rapae (Pieridae); Darapsa versicolor, Hemaris thysbe, Hyles lineata, Manduca quinquemaculata (Sphingidae)","HYMENOPTERA:  Apis mellifera, Bombus fervidus, B. vagans (Apidae).  LEPIDOPTERA:  Epargyreus claurs, Euphyes ruricola, Polites coras , P. mystic (Hesperiidae); Strymon melinus (Lycaenidae);  Agrotis sp. (Noctuidae);  Danaus plexippus (Nymphalidae);  Papilio glaucus, P. troilus (Papilionidae); Colias philodice, Artogeia rapae (Pieridae); Darapsa versicolor, Hemaris thysbe, Hyles lineata, Manduca quinquemaculata (Sphingidae)"
2860,pollinators (AF),"LEPIDOPTERA:  Phoebis sennae (Pieridae);  Eurytides marcellus, Papilio palamedes, P. troilus (Papillionidae)","LEPIDOPTERA:  Phoebis sennae (Pieridae);  Eurytides marcellus, Papilio palamedes, P. troilus (Papilionidae)"
2861,pollinators (AF),"LEPIDOPTERA: Rivula sericealis (Erebidae);  Aplocera plagiata, Gnophuos myrtillata, Ourapteryx sambucaria (Geometridae);  Ochlodes sylvanus (Hesperidae);  Abrostola tripartita, A. triplasia, Apamea anceps, A. furva, A. lateritia, A. monoglypha, A. sublustris, Autographa bractea, A. gamma, A. jota, A. pulchrina, Cucullia umbratica, Diachrysia chrysitis, D. forcipula, Diarsia mendica, Hada nana, Hadena albimacula, H. caesia, H. compta, H. perplexa, Heliophobus reticulata, Lamprotes caureum, Macdunnoughia confusa, Noctua pronuba, Plusia festucae, P. putnami, Polia bombycina, P. hepatica, P. nebulosa, Pyrrhia umbra, Sideridis reticulata (Noctuidae);  Agrius convolvuli, Hyles gallii, Deilephila elpenor, D. porcellus, Sphinx ligustri, S. pinastri (Sphingidae).","LEPIDOPTERA: Rivula sericealis (Erebidae);  Aplocera plagiata, Gnophuos myrtillata, Ourapteryx sambucaria (Geometridae);  Ochlodes sylvanus (Hesperiidae);  Abrostola tripartita, A. triplasia, Apamea anceps, A. furva, A. lateritia, A. monoglypha, A. sublustris, Autographa bractea, A. gamma, A. jota, A. pulchrina, Cucullia umbratica, Diachrysia chrysitis, D. forcipula, Diarsia mendica, Hada nana, Hadena albimacula, H. caesia, H. compta, H. perplexa, Heliophobus reticulata, Lamprotes caureum, Macdunnoughia confusa, Noctua pronuba, Plusia festucae, P. putnami, Polia bombycina, P. hepatica, P. nebulosa, Pyrrhia umbra, Sideridis reticulata (Noctuidae);  Agrius convolvuli, Hyles gallii, Deilephila elpenor, D. porcellus, Sphinx ligustri, S. pinastri (Sphingidae)."
2866,pollinators (AF),"HYMENOPTERA:  Bombus pennsylvanicus (Apidae).  LEPIDOPTERA:  Phoebis sennae (Pieridae), Papilio troilus, P. marcellus, P. palamedes, Eurytides marcellus (Papillionidae)","HYMENOPTERA:  Bombus pennsylvanicus (Apidae).  LEPIDOPTERA:  Phoebis sennae (Pieridae), Papilio troilus, P. marcellus, P. palamedes, Eurytides marcellus (Papilionidae)"
2867,pollinators (AF),"HYMENOPTERA:  Bombus flavifrons, B. mixtus, B. sitkensis (Apidae).  LEPIDOPTERA:  Polites coras (Hesperidae); Aletia oxygala, Anarta oregonica, Autographa californica, A. corusca, A. flagellum, A. pseudogamma, Actebia fennica, Discestra oregonica, Hyppa indistincta, Pesudaletia unipuncta, Phlogophora iris, Plusia putnami, Plusia sp., Pseudothyatira expultrix, Rhyacia quadrangular (Noctuidae); Speyeria hydaspe, Vanessa cardui (Nymphalidae);  Papilio glaucus, P. zelicaon (Papilionidae); Hyles gallii (Sphingidae)","HYMENOPTERA:  Bombus flavifrons, B. mixtus, B. sitkensis (Apidae).  LEPIDOPTERA:  Polites coras (Hesperiidae); Aletia oxygala, Anarta oregonica, Autographa californica, A. corusca, A. flagellum, A. pseudogamma, Actebia fennica, Discestra oregonica, Hyppa indistincta, Pesudaletia unipuncta, Phlogophora iris, Plusia putnami, Plusia sp., Pseudothyatira expultrix, Rhyacia quadrangular (Noctuidae); Speyeria hydaspe, Vanessa cardui (Nymphalidae);  Papilio glaucus, P. zelicaon (Papilionidae); Hyles gallii (Sphingidae)"
2873,pollinators (AF),"LEPIDOPTERA:  Ochlodes ochraceus (Hesperidae);  Lycaenidae;  Trichoplusia sp., Thysanoplusia intermixta (Noctuidae);  Pieridae;  Macroglossum bombylans (Sphingidae)","LEPIDOPTERA:  Ochlodes ochraceus (Hesperiidae);  Lycaenidae;  Trichoplusia sp., Thysanoplusia intermixta (Noctuidae);  Pieridae;  Macroglossum bombylans (Sphingidae)"
2878,pollinators (AF),"LEPIDOPTERA:  Eparygyreus clarus (Hesperidae);  Papilio glaucus , P. troilus (Papilionidae)","LEPIDOPTERA:  Eparygyreus clarus (Hesperiidae);  Papilio glaucus , P. troilus (Papilionidae)"
2891,pollinators (AF),"LEPIDOPTERA:  Papilio asterias, P. polyxenes (Papilioidae);  Epargyreus clarus, Polites mystic (Hesperidae);  Haemmorhagis thysbe, H. difformis  (Sphingidae)","LEPIDOPTERA:  Papilio asterias, P. polyxenes (Papilionidae);  Epargyreus clarus, Polites mystic (Hesperiidae);  Haemmorhagis thysbe, H. difformis  (Sphingidae)"
2899,pollinators (AF),"DIPTERA:  mosquito (Cullicidae).   HYMENOPTERA:  Bombus sp. (Apidae).  LEPIDOPTERA:  Drepanulatrix baueraria, Elpiste marcescaria, Semiothisa (Geometridae), Agrotis ipsilon  (Noctuidae);  Pyrausta perrubralis, Udea profundalis (Pyralidae)","DIPTERA:  mosquito (Culicidae).   HYMENOPTERA:  Bombus sp. (Apidae).  LEPIDOPTERA:  Drepanulatrix baueraria, Elpiste marcescaria, Semiothisa (Geometridae), Agrotis ipsilon  (Noctuidae);  Pyrausta perrubralis, Udea profundalis (Pyralidae)"
2904,pollinators (AF),"DIPTERA:  Empis sp., E. bistortae (Empidae).  LEPIDOPTERA: Chrysoteuchia culmella, Crambus ericella, C. pascuella, Udea uliginosalis  (Crambidae); Plutella xylostella (Plutellidae); Hellinsia osteodactylus , H. didactylites (Pterophoridae); Coenonympha gardetta (Nymphalidae).","DIPTERA:  Empis sp., E. bistortae (Empididae).  LEPIDOPTERA: Chrysoteuchia culmella, Crambus ericella, C. pascuella, Udea uliginosalis  (Crambidae); Plutella xylostella (Plutellidae); Hellinsia osteodactylus , H. didactylites (Pterophoridae); Coenonympha gardetta (Nymphalidae)."
2909,pollinators (AF),DIPTERA:  Helina sp. (Muscidae); Scatophaga stercoraria (Scatophagidae),DIPTERA:  Helina sp. (Muscidae); Scatophaga stercoraria (Scathophagidae)
2931,pollinators (AF),LEPIDOPTERA: 4 spp Hesperidae; 3 spp. Pieridae; 1 other sp,LEPIDOPTERA: 4 spp Hesperiidae; 3 spp. Pieridae; 1 other sp
2953,pollinators (AF),HYMENOPTERA:  Chysura sp. (Chrysidae),HYMENOPTERA:  Chysura sp. (Chrysididae)
2960,pollinators (AF),"HYMENOPTERA: Sp. (Scoliidae); Lassioglossum sp., Patellapis zonalictus (Halictidae); Apis mellifera (Apidae)","HYMENOPTERA: Sp. (Scoliidae); Lasioglossum sp., Patellapis zonalictus (Halictidae); Apis mellifera (Apidae)"
2969,pollinators (AF),"HYMENOPTERA: Dolichovespula sylvestris, Pollistes nimpha, Vespula germanica, V. vulgaris (Vespidae)","HYMENOPTERA: Dolichovespula sylvestris, Polistes nimpha, Vespula germanica, V. vulgaris (Vespidae)"
2970,pollinators (AF),"COLEOPTERA:  Dinoptera collaris, Rutpela maculata, Strangalia maculata, S. melanura (Cerambycidae); Oedemera virescens (Oedemeridae).  DIPTERA: Bombylius major (Bombyliidae); Sicus ferrugineus (Conopidae);  Empis livida, E. tesselata (Empidae);  Eristalis tenax, E. interrupta, E. pertinax, E. similis, E. tenax, Cheilosia personata, Volucella bombylans (Syrphidae);  Tachinia sp. (Tachinidae). HYMENOPTERA:  Apis mellifera, Bombus major, B. sylvestris, Nomada sp. (Apidae); Lasioglossum laevigatum  (Halictidae).  HEMIPTERA: Lygaeus saxatilis (Lygaeidae).  LEPIDOPTERA: Lasionycta imbecilla (Noctuidae); Boloria eunomia, B. selene, Melitaea athalia, Melitaea diamina, M. sp. Proclossiana eunomia; Vanessa cardui (Nymphalidae);  Papilio machaon (Papilionidae);  Aglia urticae (Saturnidae). ","COLEOPTERA:  Dinoptera collaris, Rutpela maculata, Strangalia maculata, S. melanura (Cerambycidae); Oedemera virescens (Oedemeridae).  DIPTERA: Bombylius major (Bombyliidae); Sicus ferrugineus (Conopidae);  Empis livida, E. tesselata (Empididae);  Eristalis tenax, E. interrupta, E. pertinax, E. similis, E. tenax, Cheilosia personata, Volucella bombylans (Syrphidae);  Tachinia sp. (Tachinidae). HYMENOPTERA:  Apis mellifera, Bombus major, B. sylvestris, Nomada sp. (Apidae); Lasioglossum laevigatum  (Halictidae).  HEMIPTERA: Lygaeus saxatilis (Lygaeidae).  LEPIDOPTERA: Lasionycta imbecilla (Noctuidae); Boloria eunomia, B. selene, Melitaea athalia, Melitaea diamina, M. sp. Proclossiana eunomia; Vanessa cardui (Nymphalidae);  Papilio machaon (Papilionidae);  Aglia urticae (Saturniidae). "
2980,pollinators (AF),"COLEOPTERA:  Peritichia 2 spp. (Scarabaeidae).  HYMENOPTERA:  Hemipepsis hilaris, H capensis (Pompiliidae). ","COLEOPTERA:  Peritichia 2 spp. (Scarabaeidae).  HYMENOPTERA:  Hemipepsis hilaris, H capensis (Pompilidae). "
2996,pollinators (AF),DIPTERA:  Moegistorhynchus longirostris (Nemestrinidae); Pangonius sp. (Tabinidae),DIPTERA:  Moegistorhynchus longirostris (Nemestrinidae); Pangonius sp. (Tabanidae)
3051,pollinators (AF),"HYMENOPTERA: Hemipepis capensis, H. hilaris (Pompiliidae)","HYMENOPTERA: Hemipepis capensis, H. hilaris (Pompilidae)"
